Clicks, Impressions, CumImpressions, Alpha, Method
44,1000,1000,1.05,TS_Disjoint
36,1000,2000,1.05,TS_Disjoint
45,1000,3000,1.05,TS_Disjoint
42,1000,4000,1.05,TS_Disjoint
37,1000,5000,1.05,TS_Disjoint
47,1000,6000,1.05,TS_Disjoint
56,1000,7000,1.05,TS_Disjoint
44,1000,8000,1.05,TS_Disjoint
52,1000,9000,1.05,TS_Disjoint
37,1000,10000,1.05,TS_Disjoint
50,1000,11000,1.05,TS_Disjoint
38,1000,12000,1.05,TS_Disjoint
45,1000,13000,1.05,TS_Disjoint
61,1000,14000,1.05,TS_Disjoint
50,1000,15000,1.05,TS_Disjoint
56,1000,16000,1.05,TS_Disjoint
58,1000,17000,1.05,TS_Disjoint
63,1000,18000,1.05,TS_Disjoint
54,1000,19000,1.05,TS_Disjoint
53,1000,20000,1.05,TS_Disjoint
76,1000,21000,1.05,TS_Disjoint
69,1000,22000,1.05,TS_Disjoint
69,1000,23000,1.05,TS_Disjoint
65,1000,24000,1.05,TS_Disjoint
82,1000,25000,1.05,TS_Disjoint
76,1000,26000,1.05,TS_Disjoint
82,1000,27000,1.05,TS_Disjoint
81,1000,28000,1.05,TS_Disjoint
79,1000,29000,1.05,TS_Disjoint
62,1000,30000,1.05,TS_Disjoint
57,1000,31000,1.05,TS_Disjoint
78,1000,32000,1.05,TS_Disjoint
76,1000,33000,1.05,TS_Disjoint
86,1000,34000,1.05,TS_Disjoint
71,1000,35000,1.05,TS_Disjoint
65,1000,36000,1.05,TS_Disjoint
66,1000,37000,1.05,TS_Disjoint
67,1000,38000,1.05,TS_Disjoint
79,1000,39000,1.05,TS_Disjoint
64,1000,40000,1.05,TS_Disjoint
67,1000,41000,1.05,TS_Disjoint
96,1000,42000,1.05,TS_Disjoint
83,1000,43000,1.05,TS_Disjoint
73,1000,44000,1.05,TS_Disjoint
83,1000,45000,1.05,TS_Disjoint
69,1000,46000,1.05,TS_Disjoint
61,1000,47000,1.05,TS_Disjoint
67,1000,48000,1.05,TS_Disjoint
