Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart,SimulationType
Global,5726250,1534363199000,1166050,2136288,-68739,-383708,1177296,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,5979990,1534384801000,249534,356547,0,0,281579,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,5979990,1534384801000,1124072,1958763,-76882,-397056,1164551,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,6464233,1534401339000,218636,0,0,0,255261,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,6464233,1534401339000,1093174,1602216,-96422,-447996,1138233,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,6734652,1534406401000,207406,0,0,0,230661,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,6734652,1534406401000,1081944,1399646,-109899,-466537,1113633,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,7863533,1534428001000,151711,0,0,0,138613,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,7863533,1534428001000,1026249,551746,-175196,-534477,1021585,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,8560378,1534449599000,94093,0,0,0,93387,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,8560378,1534449599000,968631,14420,-203703,-562645,976359,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,8571841,1534449914000,317755,0,0,0,325152,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,8571841,1534449914000,963509,9614,-203970,-563612,976058,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,8811097,1534471200000,226552,0,0,0,316804,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,8811097,1534471200000,872306,-98685,-211520,-587467,967710,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,9572684,1534492800000,70231,0,0,0,273719,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,9572684,1534492800000,715985,-536397,-253271,-670184,924625,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
