Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
Local,7863533,1534428001000,1019074,3682194,0,323609,148909,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,7863533,1534428001000,1019074,3682194,-151403,323609,148909,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,8560378,1534449599000,740302,3455287,0,290970,147849,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,8560378,1534449599000,740302,3455287,-308870,290970,147849,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,8811097,1534471200000,718242,3439791,0,160469,123235,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,8811097,1534471200000,718242,3439791,-366917,160469,123235,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,9572684,1534492800000,509047,3350152,0,83817,39931,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,9572684,1534492800000,509047,3350152,-669713,83817,39931,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,10549106,1534514400000,449230,3071852,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,10549106,1534514400000,449230,3071852,-904646,-187811,-91812,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,11220337,1534536000000,233969,3004303,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,11220337,1534536000000,233969,3004303,-1087102,-344741,-140846,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,11331020,1534539599000,226776,2987799,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,11331020,1534539599000,226776,2987799,-1115164,-371932,-172579,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,11538116,1534561200000,220872,2940589,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,11538116,1534561200000,220872,2940589,-1218286,-395040,-200330,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,12131153,1534582800000,132761,2851837,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,12131153,1534582800000,132761,2851837,-1488004,-511112,-230713,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,12921745,1534604400000,54430,2741033,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,12921745,1534604400000,54430,2741033,-1919121,-574391,-337773,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,13594727,1534626000000,0,2599791,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,13594727,1534626000000,-39677,2599791,-2228155,-676735,-364027,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,13646663,1534629599000,0,2592570,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,13646663,1534629599000,-42497,2592570,-2255693,-683936,-371183,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,13812775,1534651200000,0,2584348,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,13812775,1534651200000,-73687,2584348,-2323991,-705829,-407691,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,14433317,1534672800000,0,2528705,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,14433317,1534672800000,-185501,2528705,-2556324,-878237,-456034,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,15170226,1534694400000,0,2446463,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,15170226,1534694400000,-215732,2446463,-2868315,-933500,-713215,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,15782548,1534712399000,0,2366908,0,0,0,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,15782548,1534712399000,-389096,2366908,-3103369,-1054436,-716628,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,919597,1534230000000,2034704,4947337,1392451,1872944,1718875,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,919597,1534230000000,2034704,4947337,1392451,1872944,1718875,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,2159970,1534251600000,1942352,4782320,930580,1586241,1484446,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,2159970,1534251600000,1942352,4782320,930580,1586241,1484446,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,2912107,1534273200000,1844381,4595576,665702,1436538,1431606,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,2912107,1534273200000,1844381,4595576,665702,1436538,1431606,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,3176462,1534283997000,1825322,4536818,564837,1374400,1408071,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,3176462,1534283997000,1825322,4536818,564837,1374400,1408071,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,3361164,1534305600000,1797856,4486027,477664,1358321,1404879,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,3361164,1534305600000,1797856,4486027,477664,1358321,1404879,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,4267029,1534327200000,1753689,4287704,34279,1208793,1334418,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,4267029,1534327200000,1753689,4287704,34279,1208793,1334418,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,5314011,1534348800000,1641700,4094814,0,1054112,1260639,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,5314011,1534348800000,1641700,4094814,-479363,1054112,1260639,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,5726250,1534363199000,1598009,3997149,0,975206,1241196,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,5726250,1534363199000,1598009,3997149,-651897,975206,1241196,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,5979990,1534384801000,1569896,3917708,0,938422,1195373,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
