Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
Global,12921745,1534604400000,-417794,2589481,-928415,-510446,-768648,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,13594727,1534626000000,0,2456563,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,13594727,1534626000000,-552405,2456563,-1064276,-644030,-904655,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,13646663,1534629599000,0,2445980,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,13646663,1534629599000,-562663,2445980,-1074482,-654853,-914721,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,13812775,1534651200000,0,2412594,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,13812775,1534651200000,-594943,2412594,-1107865,-689147,-947489,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,14433317,1534672800000,0,2288870,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,14433317,1534672800000,-720324,2288870,-1231852,-812385,-1071700,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,15170226,1534694400000,0,2142387,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,15170226,1534694400000,-869412,2142387,-1378064,-960572,-1218638,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,15782548,1534712399000,0,2019382,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,15782548,1534712399000,-992268,2019382,-1500086,-1083043,-1340606,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
