Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
59,35434,600000,1534223933000,0.00111,0.00167,0.97,2.91e+02,0.976,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
67,48692,700000,1534225990000,0.000603,0.00138,0.984,2.95e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
80,61846,800000,1534227870000,0.000988,0.00129,0.98,2.94e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
104,74696,900000,1534229635000,0.00187,0.00139,0.976,2.93e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
122,85351,1000000,1534231460000,0.00169,0.00143,0.984,2.95e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
137,96204,1100000,1534233317000,0.00138,0.00142,0.984,2.95e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
151,108548,1200000,1534235388000,0.00113,0.00139,0.977,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
194,120744,1300000,1534237355000,0.00353,0.00161,0.98,2.94e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
212,144147,1400000,1534238888000,0.000769,0.00147,0.979,2.94e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
243,168610,1500000,1534240422000,0.00127,0.00144,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
255,193339,1600000,1534241857000,0.000485,0.00132,0.975,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
278,216677,1700000,1534243199000,0.000986,0.00128,0.985,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
302,238524,1800000,1534244712000,0.0011,0.00127,0.98,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
318,258967,1900000,1534246424000,0.000783,0.00123,0.978,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
343,271509,2000000,1534248381000,0.00199,0.00126,0.976,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
357,283843,2100000,1534250381000,0.00114,0.00126,0.976,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
384,295790,2200000,1534252487000,0.00226,0.0013,0.978,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
405,308490,2300000,1534254861000,0.00165,0.00131,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
425,321407,2400000,1534257558000,0.00155,0.00132,0.986,2.96e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
450,334569,2500000,1534260327000,0.0019,0.00135,0.983,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
481,348350,2600000,1534263432000,0.00225,0.00138,0.977,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
532,363336,2700000,1534266431000,0.0034,0.00146,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
566,377918,2800000,1534269300000,0.00233,0.0015,0.981,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
