Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
1975,1120562,8500000,1534448098000,0.0034,0.00176,0.987,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
16,5751,400000,1534215666000,0.00278,0.00278,0.98,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
44,21709,500000,1534221203000,0.00175,0.00203,0.977,2.93e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
59,35142,600000,1534223933000,0.00112,0.00168,0.97,2.91e+02,0.976,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
67,48285,700000,1534225990000,0.000609,0.00139,0.984,2.95e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
80,61329,800000,1534227870000,0.000997,0.0013,0.98,2.94e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
104,74056,900000,1534229635000,0.00189,0.0014,0.976,2.93e+02,0.977,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
122,84663,1000000,1534231460000,0.0017,0.00144,0.984,2.95e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
137,95506,1100000,1534233317000,0.00138,0.00143,0.984,2.95e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
151,107872,1200000,1534235388000,0.00113,0.0014,0.977,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
192,120060,1300000,1534237355000,0.00336,0.0016,0.98,2.94e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
210,143688,1400000,1534238888000,0.000762,0.00146,0.979,2.94e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
239,168225,1500000,1534240422000,0.00118,0.00142,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
251,193133,1600000,1534241857000,0.000482,0.0013,0.976,2.93e+02,0.979,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
274,216627,1700000,1534243199000,0.000979,0.00126,0.985,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
298,237307,1800000,1534244712000,0.00116,0.00126,0.982,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
314,250639,1900000,1534246424000,0.0012,0.00125,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
336,263924,2000000,1534248381000,0.00166,0.00127,0.984,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
