MSE,CumulativeMSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart
0.00019397031809048325,0.001771027247390505,13109709.0,TS_Lin,0.02,58336,1529795713.0,0.0001,0.02
9.509165968452592e-05,0.0017727868233492136,13193486.0,TS_Lin,0.02,58336,1529800714.0,0.0001,0.02
0.00016511439231081253,0.0017765348594196261,13266043.0,TS_Lin,0.02,58336,1529808581.0,0.0001,0.02
0.00012415679864469754,0.0017787115840816573,13322124.0,TS_Lin,0.02,58336,1529812778.0,0.0001,0.02
0.00018578430098940694,0.0017827401523768218,13429493.0,TS_Lin,0.02,58336,1529816378.0,0.0001,0.02
8.187889332996084e-05,0.001792777444857561,13648110.0,TS_Lin,0.02,58336,1529819978.0,0.0001,0.02
3.157034306408406e-05,0.001804776161433857,13996524.0,TS_Lin,0.02,58336,1529823578.0,0.0001,0.02
7.613150518839196e-06,0.0018186347740871787,14391924.0,TS_Lin,0.02,58336,1529827178.0,0.0001,0.02
0.0019045283635876788,0.0019045283635876788,458775.0,TS_Lin,0.05,145840,1529485200.0,0.0001,0.01
2.8941446755281925e-05,0.0016928845762647089,907502.0,TS_Lin,0.05,145840,1529488800.0,0.0001,0.01
1.1961165776773354e-05,0.0016197804923638861,1575692.0,TS_Lin,0.05,145840,1529493405.0,0.0001,0.01
2.2778039768452133e-05,0.001600880574220208,2188941.0,TS_Lin,0.05,145840,1529499255.0,0.0001,0.01
2.084224384449706e-05,0.0016017016635601717,2716729.0,TS_Lin,0.05,145840,1529504536.0,0.0001,0.01
1.9553908212826953e-05,0.001634418442032538,3124807.0,TS_Lin,0.05,145840,1529508788.0,0.0001,0.01
3.476237502826274e-08,0.001663037287683217,3522560.0,TS_Lin,0.05,145840,1529513472.0,0.0001,0.01
1.8667495726640844e-05,0.0016762679406436463,3843199.0,TS_Lin,0.05,145840,1529517072.0,0.0001,0.01
2.137222435456796e-05,0.001684289602299185,4216245.0,TS_Lin,0.05,145840,1529520672.0,0.0001,0.01
3.795677318231158e-05,0.0016966037125240375,4688545.0,TS_Lin,0.05,145840,1529524272.0,0.0001,0.01
2.2199674515184757e-08,0.0016995505117215553,5141741.0,TS_Lin,0.05,145840,1529527900.0,0.0001,0.01
1.5246302092913826e-05,0.0017110416870367356,5666273.0,TS_Lin,0.05,145840,1529539445.0,0.0001,0.01
1.5906279856852986e-05,0.0017013827114714555,6293597.0,TS_Lin,0.05,145840,1529556117.0,0.0001,0.01
2.2022774007217494e-05,0.0016780257405065097,6928472.0,TS_Lin,0.05,145840,1529560836.0,0.0001,0.01
5.9362168711025764e-06,0.0016600783863492516,7432232.0,TS_Lin,0.05,145840,1529564436.0,0.0001,0.01
5.6880427308796405e-06,0.0016420802383449108,7961360.0,TS_Lin,0.05,145840,1529570091.0,0.0001,0.01
1.0374936132620409e-05,0.0016397830652042631,8443469.0,TS_Lin,0.05,145840,1529598326.0,0.0001,0.01
1.0135151011579281e-05,0.0016251220407968473,8745795.0,TS_Lin,0.05,145840,1529613519.0,0.0001,0.01
2.926902070143773e-05,0.0016400534072677831,9255019.0,TS_Lin,0.05,145840,1529743915.0,0.0001,0.01
1.4368365349192816e-05,0.0016492768626391408,9532556.0,TS_Lin,0.05,145840,1529747515.0,0.0001,0.01
3.058324623778243e-05,0.0016587152910074155,9825816.0,TS_Lin,0.05,145840,1529751115.0,0.0001,0.01
3.438318873532615e-05,0.0016684279848823969,10144396.0,TS_Lin,0.05,145840,1529754715.0,0.0001,0.01
6.681345812422553e-05,0.0016798501355537723,10428513.0,TS_Lin,0.05,145840,1529758315.0,0.0001,0.01
5.044521682172225e-05,0.001694489018210994,10705265.0,TS_Lin,0.05,145840,1529761915.0,0.0001,0.01
1.4420151454607943e-05,0.0017064152814055549,10983785.0,TS_Lin,0.05,145840,1529765515.0,0.0001,0.01
3.87455252489748e-05,0.0017162387463777475,11267522.0,TS_Lin,0.05,145840,1529769115.0,0.0001,0.01
3.4630394325672584e-05,0.0017234660275040397,11583982.0,TS_Lin,0.05,145840,1529772715.0,0.0001,0.01
2.4044630092348247e-05,0.0017302959349008481,11874080.0,TS_Lin,0.05,145840,1529776315.0,0.0001,0.01
5.620571492058833e-05,0.0017344271368494497,12086573.0,TS_Lin,0.05,145840,1529779915.0,0.0001,0.01
2.0984338791915188e-05,0.00174122502596405,12325068.0,TS_Lin,0.05,145840,1529783515.0,0.0001,0.01
0.0001109332205900941,0.0017489498894232383,12638787.0,TS_Lin,0.05,145840,1529787115.0,0.0001,0.01
7.307161281534494e-06,0.0017625710274798074,12911861.0,TS_Lin,0.05,145840,1529790715.0,0.0001,0.01
2.0782443347490425e-05,0.0017692789655861586,13102303.0,TS_Lin,0.05,145840,1529795413.0,0.0001,0.01
0.00011264551375539934,0.0017757332599718455,13279127.0,TS_Lin,0.05,145840,1529809809.0,0.0001,0.01
3.255043822714205e-05,0.0017801603292898417,13401698.0,TS_Lin,0.05,145840,1529815683.0,0.0001,0.01
2.0903388209279748e-05,0.0017902869410318214,13593298.0,TS_Lin,0.05,145840,1529819283.0,0.0001,0.01
3.0069101805009897e-05,0.0018025318282477612,13923971.0,TS_Lin,0.05,145840,1529822883.0,0.0001,0.01
3.790374570334553e-05,0.0018155342520867349,14319052.0,TS_Lin,0.05,145840,1529826483.0,0.0001,0.01
0.0019045283635876788,0.0019045283635876788,458775.0,TS_Lin,0.05,145840,1529485200.0,0.0001,0.02
2.8941081269607237e-05,0.0016928800561392678,907502.0,TS_Lin,0.05,145840,1529488800.0,0.0001,0.02
9.140809868995919e-06,0.0016235533634906135,1454051.0,TS_Lin,0.05,145840,1529492400.0,0.0001,0.02
2.656769754165667e-05,0.0016132639172880812,1867223.0,TS_Lin,0.05,145840,1529496000.0,0.0001,0.02
1.9514846606197906e-05,0.0015913365985854404,2225254.0,TS_Lin,0.05,145840,1529499600.0,0.0001,0.02
1.1459242363208514e-05,0.0015876799679572908,2574843.0,TS_Lin,0.05,145840,1529503200.0,0.0001,0.02
4.812303044807529e-05,0.0016228735269217327,2947868.0,TS_Lin,0.05,145840,1529506800.0,0.0001,0.02
5.441986259013842e-05,0.0016448550987048097,3259547.0,TS_Lin,0.05,145840,1529510400.0,0.0001,0.02
2.274295480841693e-05,0.0016639186056189195,3567316.0,TS_Lin,0.05,145840,1529514000.0,0.0001,0.02
3.0816702056241035e-06,0.0016779862493086991,3891463.0,TS_Lin,0.05,145840,1529517600.0,0.0001,0.02
3.789736550922273e-05,0.0016859656822111328,4284670.0,TS_Lin,0.05,145840,1529521200.0,0.0001,0.02
6.281877624862541e-06,0.0016948009142926503,4762296.0,TS_Lin,0.05,145840,1529524800.0,0.0001,0.02
