Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
31.0,6798.0,920000,LinUCB_Disjoint,1531511395.0,0.00379,3.42e+02,0.00293,2.63e+02,12,0.02,0.02,0.1,0.0
31.0,6853.0,930000,LinUCB_Disjoint,1531515478.0,0.00271,2.43e+02,0.00293,2.63e+02,12,0.02,0.02,0.1,0.0
31.0,6920.0,940000,LinUCB_Disjoint,1531521280.0,0.00291,2.61e+02,0.00293,2.63e+02,12,0.02,0.02,0.1,0.0
32.0,7017.0,950000,LinUCB_Disjoint,1531539658.0,0.0032,2.88e+02,0.00293,2.63e+02,12,0.02,0.02,0.1,0.0
32.0,7098.0,960000,LinUCB_Disjoint,1531547734.0,0.0034,3.06e+02,0.00293,2.63e+02,12,0.02,0.02,0.1,0.0
33.0,7186.0,970000,LinUCB_Disjoint,1531551869.0,0.00379,3.42e+02,0.00294,2.64e+02,12,0.02,0.02,0.1,0.0
33.0,7276.0,980000,LinUCB_Disjoint,1531555975.0,0.00271,2.43e+02,0.00294,2.64e+02,12,0.02,0.02,0.1,0.0
33.0,7381.0,990000,LinUCB_Disjoint,1531560448.0,0.00222,1.98e+02,0.00293,2.63e+02,12,0.02,0.02,0.1,0.0
33.0,7431.0,1000000,LinUCB_Disjoint,1531564937.0,0.00212,1.89e+02,0.00293,2.62e+02,12,0.02,0.02,0.1,0.0
33.0,7498.0,1010000,LinUCB_Disjoint,1531569112.0,0.00241,2.16e+02,0.00292,2.62e+02,12,0.02,0.02,0.1,0.0
34.0,7573.0,1020000,LinUCB_Disjoint,1531574479.0,0.00399,3.6e+02,0.00293,2.63e+02,12,0.02,0.02,0.1,0.0
36.0,7654.0,1030000,LinUCB_Disjoint,1531579769.0,0.00388,3.51e+02,0.00294,2.64e+02,12,0.02,0.02,0.1,0.0
37.0,7738.0,1040000,LinUCB_Disjoint,1531584911.0,0.00498,4.5e+02,0.00296,2.66e+02,12,0.02,0.02,0.1,0.0
38.0,7842.0,1050000,LinUCB_Disjoint,1531589433.0,0.00281,2.52e+02,0.00296,2.65e+02,12,0.02,0.02,0.1,0.0
39.0,7937.0,1060000,LinUCB_Disjoint,1531594544.0,0.00409,3.69e+02,0.00297,2.66e+02,12,0.02,0.02,0.1,0.0
39.0,8020.0,1070000,LinUCB_Disjoint,1531599539.0,0.00409,3.69e+02,0.00298,2.67e+02,12,0.02,0.02,0.1,0.0
39.0,8126.0,1080000,LinUCB_Disjoint,1531605095.0,0.00409,3.69e+02,0.00299,2.68e+02,12,0.02,0.02,0.1,0.0
39.0,8193.0,1090000,LinUCB_Disjoint,1531625124.0,0.00597,5.4e+02,0.00302,2.71e+02,12,0.02,0.02,0.1,0.0
41.0,8306.0,1100000,LinUCB_Disjoint,1531636583.0,0.00527,4.77e+02,0.00304,2.73e+02,12,0.02,0.02,0.1,0.0
41.0,8425.0,1110000,LinUCB_Disjoint,1531641517.0,0.00498,4.5e+02,0.00305,2.74e+02,12,0.02,0.02,0.1,0.0
43.0,8492.0,1120000,LinUCB_Disjoint,1531646662.0,0.00438,3.96e+02,0.00307,2.75e+02,12,0.02,0.02,0.1,0.0
