Clicks,Impressions,TotalImpressions,Method,RecommendationPart,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
42.0,26341.0,1890000,Random,0.02,1529496231.0,0.001,0.02,0.5134,0.3797259261492363
43.0,26541.0,1900000,Random,0.02,1529496335.0,0.001,0.02,0.4959,0.3803373686431876
43.0,26747.0,1910000,Random,0.02,1529496441.0,0.001,0.02,0.5017,0.3809727750900819
43.0,26974.0,1920000,Random,0.02,1529496550.0,0.001,0.02,0.4945,0.38156406271982113
44.0,27175.0,1930000,Random,0.02,1529496655.0,0.001,0.02,0.4905,0.38212849762800855
44.0,27402.0,1940000,Random,0.02,1529496762.0,0.001,0.02,0.5097,0.3827860826917817
44.0,27606.0,1950000,Random,0.02,1529496866.0,0.001,0.02,0.5036,0.38340564124208026
44.0,27814.0,1960000,Random,0.02,1529496967.0,0.001,0.02,0.5036,0.38401887776635535
44.0,27999.0,1970000,Random,0.02,1529497068.0,0.001,0.02,0.499,0.3846025382853079
44.0,28229.0,1980000,Random,0.02,1529497168.0,0.001,0.02,0.5041,0.3852060608192205
44.0,28435.0,1990000,Random,0.02,1529497268.0,0.001,0.02,0.5042,0.3858040203125912
44.0,28627.0,2000000,Random,0.02,1529497367.0,0.001,0.02,0.4907,0.38632850021102827
44.0,28848.0,2010000,Random,0.02,1529497467.0,0.001,0.02,0.4964,0.3868761196129635
44.0,29056.0,2020000,Random,0.02,1529497571.0,0.001,0.02,0.496,0.38741633684260224
44.0,29261.0,2030000,Random,0.02,1529497673.0,0.001,0.02,0.4994,0.38796798050347614
44.0,29456.0,2040000,Random,0.02,1529497772.0,0.001,0.02,0.4976,0.3885053923637532
45.0,29630.0,2050000,Random,0.02,1529497873.0,0.001,0.02,0.4861,0.3889814636205154
45.0,29838.0,2060000,Random,0.02,1529497977.0,0.001,0.02,0.515,0.38959320408837694
45.0,30012.0,2070000,Random,0.02,1529498080.0,0.001,0.02,0.4984,0.3901188407836022
46.0,30192.0,2080000,Random,0.02,1529498182.0,0.001,0.02,0.5026,0.39065961558752715
47.0,30390.0,2090000,Random,0.02,1529498282.0,0.001,0.02,0.4938,0.3911531102497878
47.0,30592.0,2100000,Random,0.02,1529498384.0,0.001,0.02,0.5043,0.3916919049628841
47.0,30791.0,2110000,Random,0.02,1529498486.0,0.001,0.02,0.4861,0.3921393366929178
47.0,30961.0,2120000,Random,0.02,1529498586.0,0.001,0.02,0.5018,0.39265660397266816
47.0,31123.0,2130000,Random,0.02,1529498688.0,0.001,0.02,0.4954,0.3931389673342988
47.0,31334.0,2140000,Random,0.02,1529498787.0,0.001,0.02,0.4936,0.39360841141217595
47.0,31537.0,2150000,Random,0.02,1529498886.0,0.001,0.02,0.497,0.3940893025218868
47.0,31726.0,2160000,Random,0.02,1529498982.0,0.001,0.02,0.4795,0.3944847224176188
47.0,31952.0,2170000,Random,0.02,1529499077.0,0.001,0.02,0.4934,0.3949405531898878
48.0,32149.0,2180000,Random,0.02,1529499170.0,0.001,0.02,0.4932,0.39539128459727363
48.0,32346.0,2190000,Random,0.02,1529499265.0,0.001,0.02,0.4993,0.3958657536173774
48.0,32576.0,2200000,Random,0.02,1529499357.0,0.001,0.02,0.5114,0.39639090928275295
48.0,32778.0,2210000,Random,0.02,1529499453.0,0.001,0.02,0.5079,0.39689547530409797
48.0,32976.0,2220000,Random,0.02,1529499550.0,0.001,0.02,0.5119,0.3974135137036291
48.0,33186.0,2230000,Random,0.02,1529499644.0,0.001,0.02,0.5027,0.3978856504134783
48.0,33393.0,2240000,Random,0.02,1529499740.0,0.001,0.02,0.5082,0.3983781251884181
50.0,33606.0,2250000,Random,0.02,1529499837.0,0.001,0.02,0.4999,0.398829333520914
50.0,33790.0,2260000,Random,0.02,1529499935.0,0.001,0.02,0.4855,0.3992128320451578
50.0,33996.0,2270000,Random,0.02,1529500037.0,0.001,0.02,0.4939,0.39962995613306457
50.0,34189.0,2280000,Random,0.02,1529500139.0,0.001,0.02,0.501,0.40007456158862126
50.0,34395.0,2290000,Random,0.02,1529500240.0,0.001,0.02,0.5135,0.40056986917993737
51.0,34601.0,2300000,Random,0.02,1529500342.0,0.001,0.02,0.4989,0.4009973914878507
52.0,34813.0,2310000,Random,0.02,1529500444.0,0.001,0.02,0.5056,0.4014502166329249
52.0,34989.0,2320000,Random,0.02,1529500548.0,0.001,0.02,0.4866,0.4018172415612313
53.0,35208.0,2330000,Random,0.02,1529500653.0,0.001,0.02,0.5077,0.40227167400088265
53.0,35410.0,2340000,Random,0.02,1529500754.0,0.001,0.02,0.5059,0.40271453009489594
53.0,35614.0,2350000,Random,0.02,1529500855.0,0.001,0.02,0.5004,0.40313021294555595
53.0,35795.0,2360000,Random,0.02,1529500958.0,0.001,0.02,0.4966,0.4035262713652782
53.0,35993.0,2370000,Random,0.02,1529501064.0,0.001,0.02,0.5089,0.40397088625403227
55.0,36236.0,2380000,Random,0.02,1529501171.0,0.001,0.02,0.4963,0.4043588237067464
55.0,36449.0,2390000,Random,0.02,1529501276.0,0.001,0.02,0.49,0.4047171549883082
55.0,36646.0,2400000,Random,0.02,1529501383.0,0.001,0.02,0.5042,0.40513166684252355
55.0,36845.0,2410000,Random,0.02,1529501489.0,0.001,0.02,0.5105,0.40556887984317697
55.0,37037.0,2420000,Random,0.02,1529501593.0,0.001,0.02,0.5023,0.4059685952157258
56.0,37229.0,2430000,Random,0.02,1529501694.0,0.001,0.02,0.496,0.4063390948238916
56.0,37448.0,2440000,Random,0.02,1529501795.0,0.001,0.02,0.4987,0.40671762312379367
56.0,37658.0,2450000,Random,0.02,1529501896.0,0.001,0.02,0.5044,0.4071163267028802
56.0,37858.0,2460000,Random,0.02,1529502003.0,0.001,0.02,0.4985,0.40748780504961646
57.0,38041.0,2470000,Random,0.02,1529502109.0,0.001,0.02,0.4952,0.40784291515063015
57.0,38223.0,2480000,Random,0.02,1529502218.0,0.001,0.02,0.5018,0.40822177436373247
57.0,38424.0,2490000,Random,0.02,1529502326.0,0.001,0.02,0.5036,0.40860481944660904
57.0,38636.0,2500000,Random,0.02,1529502432.0,0.001,0.02,0.4878,0.4089216001688226
58.0,38824.0,2510000,Random,0.02,1529502542.0,0.001,0.02,0.5087,0.4093191236741261
58.0,39047.0,2520000,Random,0.02,1529502648.0,0.001,0.02,0.5026,0.40968928588176845
58.0,39247.0,2530000,Random,0.02,1529502758.0,0.001,0.02,0.4938,0.41002173929725555
58.0,39461.0,2540000,Random,0.02,1529502867.0,0.001,0.02,0.4974,0.41036574819766003
59.0,39665.0,2550000,Random,0.02,1529502966.0,0.001,0.02,0.4931,0.41069019624394376
