Clicks,Impressions,TotalImpressions,Method,RecommendationPart,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
36.0,3254.0,1700000,LinUCB_Disjoint_E_0.8,0.02,1529494462.0,0.01,0.02,0.04324145799477242,0.032117388695763284
36.0,3283.0,1710000,LinUCB_Disjoint_E_0.8,0.02,1529494551.0,0.01,0.02,0.042870000796670686,0.032180269468283194
36.0,3316.0,1720000,LinUCB_Disjoint_E_0.8,0.02,1529494637.0,0.01,0.02,0.043259413712271065,0.032244683097608515
36.0,3350.0,1730000,LinUCB_Disjoint_E_0.8,0.02,1529494722.0,0.01,0.02,0.042931105458181386,0.03230645432512648
36.0,3374.0,1740000,LinUCB_Disjoint_E_0.8,0.02,1529494810.0,0.01,0.02,0.04241235724556754,0.03236453422696796
37.0,3401.0,1750000,LinUCB_Disjoint_E_0.8,0.02,1529494897.0,0.01,0.02,0.043685504315578945,0.03242922548461736
37.0,3417.0,1760000,LinUCB_Disjoint_E_0.8,0.02,1529494986.0,0.01,0.02,0.04360436386417088,0.03249272058904668
37.0,3442.0,1770000,LinUCB_Disjoint_E_0.8,0.02,1529495075.0,0.01,0.02,0.04410613136328775,0.03255833307929678
37.0,3461.0,1780000,LinUCB_Disjoint_E_0.8,0.02,1529495164.0,0.01,0.02,0.04401644039087792,0.032622704468687765
37.0,3483.0,1790000,LinUCB_Disjoint_E_0.8,0.02,1529495253.0,0.01,0.02,0.04334158849661887,0.03268258650236318
38.0,3511.0,1800000,LinUCB_Disjoint_E_0.8,0.02,1529495344.0,0.01,0.02,0.04358626138396493,0.03274316247392753
38.0,3529.0,1810000,LinUCB_Disjoint_E_0.8,0.02,1529495435.0,0.01,0.02,0.043556937125910355,0.03280290708526476
38.0,3546.0,1820000,LinUCB_Disjoint_E_0.8,0.02,1529495529.0,0.01,0.02,0.042863227159889335,0.03285818356919111
38.0,3554.0,1830000,LinUCB_Disjoint_E_0.8,0.02,1529495626.0,0.01,0.02,0.04441963393891128,0.032921360893615734
38.0,3587.0,1840000,LinUCB_Disjoint_E_0.8,0.02,1529495724.0,0.01,0.02,0.04397427214598146,0.03298143106346553
38.0,3612.0,1850000,LinUCB_Disjoint_E_0.8,0.02,1529495824.0,0.01,0.02,0.04324682350782984,0.03303691967127288
38.0,3634.0,1860000,LinUCB_Disjoint_E_0.8,0.02,1529495927.0,0.01,0.02,0.04452454799058494,0.03309868111384968
38.0,3659.0,1870000,LinUCB_Disjoint_E_0.8,0.02,1529496027.0,0.01,0.02,0.04330269699113227,0.033153248043674845
38.0,3684.0,1880000,LinUCB_Disjoint_E_0.8,0.02,1529496130.0,0.01,0.02,0.0429647501662683,0.033205436884752575
38.0,3705.0,1890000,LinUCB_Disjoint_E_0.8,0.02,1529496231.0,0.01,0.02,0.040970250543893055,0.03324652055490647
38.0,3725.0,1900000,LinUCB_Disjoint_E_0.8,0.02,1529496335.0,0.01,0.02,0.04136810105083027,0.03328926571541132
38.0,3739.0,1910000,LinUCB_Disjoint_E_0.8,0.02,1529496441.0,0.01,0.02,0.042256776410345726,0.0333362160331857
38.0,3754.0,1920000,LinUCB_Disjoint_E_0.8,0.02,1529496550.0,0.01,0.02,0.0413178183204396,0.03337778687843155
38.0,3768.0,1930000,LinUCB_Disjoint_E_0.8,0.02,1529496655.0,0.01,0.02,0.04141095630629854,0.033419409517954
38.0,3800.0,1940000,LinUCB_Disjoint_E_0.8,0.02,1529496762.0,0.01,0.02,0.04201328671327334,0.03346370785401228
38.0,3815.0,1950000,LinUCB_Disjoint_E_0.8,0.02,1529496866.0,0.01,0.02,0.04022651962115905,0.033498388939997535
38.0,3836.0,1960000,LinUCB_Disjoint_E_0.8,0.02,1529496967.0,0.01,0.02,0.039244747992038205,0.033527707098426326
38.0,3861.0,1970000,LinUCB_Disjoint_E_0.8,0.02,1529497068.0,0.01,0.02,0.04057728320549408,0.03356349174871624
39.0,3876.0,1980000,LinUCB_Disjoint_E_0.8,0.02,1529497168.0,0.01,0.02,0.040002740036921954,0.03359601320471717
39.0,3897.0,1990000,LinUCB_Disjoint_E_0.8,0.02,1529497268.0,0.01,0.02,0.04060550205878308,0.033631236766798286
39.0,3915.0,2000000,LinUCB_Disjoint_E_0.8,0.02,1529497367.0,0.01,0.02,0.04156806906476261,0.03367092092828753
39.0,3935.0,2010000,LinUCB_Disjoint_E_0.8,0.02,1529497467.0,0.01,0.02,0.04190405213005644,0.03371188178003761
40.0,3961.0,2020000,LinUCB_Disjoint_E_0.8,0.02,1529497571.0,0.01,0.02,0.0405807986632415,0.03374588631906321
41.0,3984.0,2030000,LinUCB_Disjoint_E_0.8,0.02,1529497673.0,0.01,0.02,0.04073711210747377,0.03378032585496649
41.0,4007.0,2040000,LinUCB_Disjoint_E_0.8,0.02,1529497772.0,0.01,0.02,0.041645196739008114,0.03381887914361335
41.0,4035.0,2050000,LinUCB_Disjoint_E_0.8,0.02,1529497873.0,0.01,0.02,0.04096761856157263,0.033853751043213344
41.0,4061.0,2060000,LinUCB_Disjoint_E_0.8,0.02,1529497977.0,0.01,0.02,0.041239050222985074,0.033889602010105574
42.0,4081.0,2070000,LinUCB_Disjoint_E_0.8,0.02,1529498080.0,0.01,0.02,0.04087643521229571,0.03392335482750715
42.0,4097.0,2080000,LinUCB_Disjoint_E_0.8,0.02,1529498182.0,0.01,0.02,0.04028542329344896,0.03395394169513162
42.0,4112.0,2090000,LinUCB_Disjoint_E_0.8,0.02,1529498282.0,0.01,0.02,0.040352985422484416,0.033984559129234024
42.0,4130.0,2100000,LinUCB_Disjoint_E_0.8,0.02,1529498384.0,0.01,0.02,0.04013341952530385,0.0340138394168344
42.0,4158.0,2110000,LinUCB_Disjoint_E_0.8,0.02,1529498486.0,0.01,0.02,0.040600395275501765,0.034045055321378075
42.0,4178.0,2120000,LinUCB_Disjoint_E_0.8,0.02,1529498586.0,0.01,0.02,0.04025996760183521,0.034074370945342616
43.0,4203.0,2130000,LinUCB_Disjoint_E_0.8,0.02,1529498688.0,0.01,0.02,0.0402816463893645,0.03410351308357772
43.0,4229.0,2140000,LinUCB_Disjoint_E_0.8,0.02,1529498787.0,0.01,0.02,0.039781504378443286,0.03413004575318024
43.0,4250.0,2150000,LinUCB_Disjoint_E_0.8,0.02,1529498886.0,0.01,0.02,0.0396413864985262,0.03415567989618158
43.0,4272.0,2160000,LinUCB_Disjoint_E_0.8,0.02,1529498982.0,0.01,0.02,0.03936610838371752,0.03417980225029085
43.0,4297.0,2170000,LinUCB_Disjoint_E_0.8,0.02,1529499077.0,0.01,0.02,0.040397217482505576,0.034208453933388505
43.0,4319.0,2180000,LinUCB_Disjoint_E_0.8,0.02,1529499170.0,0.01,0.02,0.04064538406487448,0.03423798113582671
44.0,4348.0,2190000,LinUCB_Disjoint_E_0.8,0.02,1529499265.0,0.01,0.02,0.04060690397083231,0.03426706297525579
44.0,4370.0,2200000,LinUCB_Disjoint_E_0.8,0.02,1529499357.0,0.01,0.02,0.040442636420876754,0.0342951337636448
46.0,4388.0,2210000,LinUCB_Disjoint_E_0.8,0.02,1529499453.0,0.01,0.02,0.040091206482187426,0.03432136033703191
46.0,4409.0,2220000,LinUCB_Disjoint_E_0.8,0.02,1529499550.0,0.01,0.02,0.04123790071447153,0.03435251592431762
46.0,4443.0,2230000,LinUCB_Disjoint_E_0.8,0.02,1529499644.0,0.01,0.02,0.041195748014888116,0.03438320306373758
47.0,4466.0,2240000,LinUCB_Disjoint_E_0.8,0.02,1529499740.0,0.01,0.02,0.04132177265107585,0.034414178820824134
47.0,4486.0,2250000,LinUCB_Disjoint_E_0.8,0.02,1529499837.0,0.01,0.02,0.04171152836709057,0.03444661148547412
47.0,4512.0,2260000,LinUCB_Disjoint_E_0.8,0.02,1529499935.0,0.01,0.02,0.04192693383409803,0.03447971025692854
47.0,4535.0,2270000,LinUCB_Disjoint_E_0.8,0.02,1529500037.0,0.01,0.02,0.0419281728507311,0.034512522867473826
47.0,4559.0,2280000,LinUCB_Disjoint_E_0.8,0.02,1529500139.0,0.01,0.02,0.04023298231722792,0.03453761260190244
47.0,4581.0,2290000,LinUCB_Disjoint_E_0.8,0.02,1529500240.0,0.01,0.02,0.040207207761984734,0.03456237065937057
47.0,4597.0,2300000,LinUCB_Disjoint_E_0.8,0.02,1529500342.0,0.01,0.02,0.04113517511682011,0.034590948070055624
47.0,4618.0,2310000,LinUCB_Disjoint_E_0.8,0.02,1529500444.0,0.01,0.02,0.04131121908994826,0.03462004015239267
47.0,4640.0,2320000,LinUCB_Disjoint_E_0.8,0.02,1529500548.0,0.01,0.02,0.040554382147630505,0.03464561921271734
47.0,4656.0,2330000,LinUCB_Disjoint_E_0.8,0.02,1529500653.0,0.01,0.02,0.040725058884627505,0.034671711228476995
47.0,4677.0,2340000,LinUCB_Disjoint_E_0.8,0.02,1529500754.0,0.01,0.02,0.04142998371821542,0.034700592734843584
47.0,4694.0,2350000,LinUCB_Disjoint_E_0.8,0.02,1529500855.0,0.01,0.02,0.03979141726264585,0.03472225581794026
47.0,4712.0,2360000,LinUCB_Disjoint_E_0.8,0.02,1529500958.0,0.01,0.02,0.040789672965065776,0.03474796521263141
48.0,4731.0,2370000,LinUCB_Disjoint_E_0.8,0.02,1529501064.0,0.01,0.02,0.041220812406103056,0.03477527680416518
50.0,4743.0,2380000,LinUCB_Disjoint_E_0.8,0.02,1529501171.0,0.01,0.02,0.040178543501202015,0.03479797960541339
50.0,4753.0,2390000,LinUCB_Disjoint_E_0.8,0.02,1529501276.0,0.01,0.02,0.04007466471986516,0.03482005778580827
50.0,4767.0,2400000,LinUCB_Disjoint_E_0.8,0.02,1529501383.0,0.01,0.02,0.04105525178723843,0.03484603776081409
50.0,4782.0,2410000,LinUCB_Disjoint_E_0.8,0.02,1529501489.0,0.01,0.02,0.04056179886943927,0.03486975461188731
51.0,4800.0,2420000,LinUCB_Disjoint_E_0.8,0.02,1529501593.0,0.01,0.02,0.04059931961878898,0.03489343050034521
51.0,4808.0,2430000,LinUCB_Disjoint_E_0.8,0.02,1529501694.0,0.01,0.02,0.040030796930098755,0.03491457192598183
51.0,4820.0,2440000,LinUCB_Disjoint_E_0.8,0.02,1529501795.0,0.01,0.02,0.04035228907233832,0.03493685765199096
51.0,4828.0,2450000,LinUCB_Disjoint_E_0.8,0.02,1529501896.0,0.01,0.02,0.03994470990118573,0.03495729786525256
51.0,4846.0,2460000,LinUCB_Disjoint_E_0.8,0.02,1529502003.0,0.01,0.02,0.04224000893780808,0.034986902381807516
51.0,4856.0,2470000,LinUCB_Disjoint_E_0.8,0.02,1529502109.0,0.01,0.02,0.04137047414150316,0.03501274680188726
52.0,4869.0,2480000,LinUCB_Disjoint_E_0.8,0.02,1529502218.0,0.01,0.02,0.04111138508087993,0.03503733808527057
