Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,MSE
81.0,21834.0,2630000.0,GP_Clustered,0.02,58336,1529503729.0,0.02,0.00126013080110291
81.0,21906.0,2640000.0,GP_Clustered,0.02,58336,1529503826.0,0.02,0.0012595200280586653
81.0,21945.0,2650000.0,GP_Clustered,0.02,58336,1529503917.0,0.02,0.0012611631240354508
82.0,21994.0,2660000.0,GP_Clustered,0.02,58336,1529504012.0,0.02,0.0012665311720230787
82.0,22039.0,2670000.0,GP_Clustered,0.02,58336,1529504104.0,0.02,0.001268519397747071
82.0,22093.0,2680000.0,GP_Clustered,0.02,58336,1529504198.0,0.02,0.001270483165805967
82.0,22133.0,2690000.0,GP_Clustered,0.02,58336,1529504289.0,0.02,0.0012742811550876143
83.0,22169.0,2700000.0,GP_Clustered,0.02,58336,1529504380.0,0.02,0.001276953788394313
83.0,22208.0,2710000.0,GP_Clustered,0.02,58336,1529504474.0,0.02,0.0012792457265848884
83.0,22250.0,2720000.0,GP_Clustered,0.02,58336,1529504565.0,0.02,0.0012807889094496102
85.0,22295.0,2730000.0,GP_Clustered,0.02,58336,1529504659.0,0.02,0.0012841177382514498
86.0,22347.0,2740000.0,GP_Clustered,0.02,58336,1529504756.0,0.02,0.0012881525638557237
87.0,22401.0,2750000.0,GP_Clustered,0.02,58336,1529504851.0,0.02,0.0012896295904607999
87.0,22458.0,2760000.0,GP_Clustered,0.02,58336,1529504947.0,0.02,0.0012936231657962771
88.0,22512.0,2770000.0,GP_Clustered,0.02,58336,1529505043.0,0.02,0.0012936356017504804
90.0,22566.0,2780000.0,GP_Clustered,0.02,58336,1529505140.0,0.02,0.001294005929269257
90.0,22611.0,2790000.0,GP_Clustered,0.02,58336,1529505239.0,0.02,0.0012968806178003042
90.0,22663.0,2800000.0,GP_Clustered,0.02,58336,1529505335.0,0.02,0.0012993702673609788
90.0,22703.0,2810000.0,GP_Clustered,0.02,58336,1529505433.0,0.02,0.0012993695613861948
91.0,22750.0,2820000.0,GP_Clustered,0.02,58336,1529505528.0,0.02,0.0013018321860059515
91.0,22801.0,2830000.0,GP_Clustered,0.02,58336,1529505625.0,0.02,0.0013021729454634472
91.0,22851.0,2840000.0,GP_Clustered,0.02,58336,1529505722.0,0.02,0.0013046131471469821
91.0,22902.0,2850000.0,GP_Clustered,0.02,58336,1529505822.0,0.02,0.0013063373832501004
91.0,22953.0,2860000.0,GP_Clustered,0.02,58336,1529505920.0,0.02,0.0013080448004675507
91.0,23015.0,2870000.0,GP_Clustered,0.02,58336,1529506017.0,0.02,0.0013100848656549206
91.0,23076.0,2880000.0,GP_Clustered,0.02,58336,1529506114.0,0.02,0.001312796049276921
91.0,23139.0,2890000.0,GP_Clustered,0.02,58336,1529506212.0,0.02,0.0013130885916019927
91.0,23186.0,2900000.0,GP_Clustered,0.02,58336,1529506309.0,0.02,0.001314412785479628
92.0,23226.0,2910000.0,GP_Clustered,0.02,58336,1529506410.0,0.02,0.0013177667797637884
92.0,23268.0,2920000.0,GP_Clustered,0.02,58336,1529506511.0,0.02,0.0013190611552503335
95.0,23310.0,2930000.0,GP_Clustered,0.02,58336,1529506613.0,0.02,0.0013220334893218715
96.0,23352.0,2940000.0,GP_Clustered,0.02,58336,1529506718.0,0.02,0.001323970925979576
97.0,23407.0,2950000.0,GP_Clustered,0.02,58336,1529506822.0,0.02,0.0013265816059328068
98.0,23469.0,2960000.0,GP_Clustered,0.02,58336,1529506931.0,0.02,0.001327486759970826
99.0,23528.0,2970000.0,GP_Clustered,0.02,58336,1529507047.0,0.02,0.0013307336546517592
99.0,23589.0,2980000.0,GP_Clustered,0.02,58336,1529507163.0,0.02,0.0013329575679270596
101.0,23650.0,2990000.0,GP_Clustered,0.02,58336,1529507278.0,0.02,0.0013364863656862114
101.0,23717.0,3000000.0,GP_Clustered,0.02,58336,1529507390.0,0.02,0.0013380206903755856
103.0,23784.0,3010000.0,GP_Clustered,0.02,58336,1529507502.0,0.02,0.0013398682604896068
103.0,23835.0,3020000.0,GP_Clustered,0.02,58336,1529507616.0,0.02,0.0013397327770538208
103.0,23886.0,3030000.0,GP_Clustered,0.02,58336,1529507723.0,0.02,0.0013395883672943382
104.0,23937.0,3040000.0,GP_Clustered,0.02,58336,1529507833.0,0.02,0.0013443585805627822
104.0,23985.0,3050000.0,GP_Clustered,0.02,58336,1529507944.0,0.02,0.001346162697229254
104.0,24039.0,3060000.0,GP_Clustered,0.02,58336,1529508056.0,0.02,0.0013476398207324534
104.0,24098.0,3070000.0,GP_Clustered,0.02,58336,1529508167.0,0.02,0.0013487737161699076
105.0,24168.0,3080000.0,GP_Clustered,0.02,58336,1529508279.0,0.02,0.001349888117811557
105.0,24226.0,3090000.0,GP_Clustered,0.02,58336,1529508391.0,0.02,0.0013503654992802362
106.0,24286.0,3100000.0,GP_Clustered,0.02,58336,1529508503.0,0.02,0.0013514825331266134
106.0,24329.0,3110000.0,GP_Clustered,0.02,58336,1529508612.0,0.02,0.001352274006896834
106.0,24375.0,3120000.0,GP_Clustered,0.02,58336,1529508730.0,0.02,0.0013543470969590958
107.0,24434.0,3130000.0,GP_Clustered,0.02,58336,1529508849.0,0.02,0.0013563938367811455
107.0,24495.0,3140000.0,GP_Clustered,0.02,58336,1529508964.0,0.02,0.001357472977638213
108.0,24558.0,3150000.0,GP_Clustered,0.02,58336,1529509083.0,0.02,0.0013582296458719274
108.0,24621.0,3160000.0,GP_Clustered,0.02,58336,1529509203.0,0.02,0.0013602314043728231
108.0,24677.0,3170000.0,GP_Clustered,0.02,58336,1529509321.0,0.02,0.0013625463525844697
