Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
1066.0,209016.0,4120000.0,Regression,0.1,291680
1072.0,209529.0,4130000.0,Regression,0.1,291680
1075.0,210065.0,4140000.0,Regression,0.1,291680
1078.0,210646.0,4150000.0,Regression,0.1,291680
1087.0,211181.0,4160000.0,Regression,0.1,291680
1089.0,211719.0,4170000.0,Regression,0.1,291680
1092.0,212278.0,4180000.0,Regression,0.1,291680
1095.0,212841.0,4190000.0,Regression,0.1,291680
1099.0,213374.0,4200000.0,Regression,0.1,291680
1103.0,213897.0,4210000.0,Regression,0.1,291680
1107.0,214437.0,4220000.0,Regression,0.1,291680
1114.0,214971.0,4230000.0,Regression,0.1,291680
1119.0,215535.0,4240000.0,Regression,0.1,291680
1123.0,216085.0,4250000.0,Regression,0.1,291680
1127.0,216687.0,4260000.0,Regression,0.1,291680
1129.0,217249.0,4270000.0,Regression,0.1,291680
1134.0,217859.0,4280000.0,Regression,0.1,291680
1141.0,218472.0,4290000.0,Regression,0.1,291680
1145.0,219095.0,4300000.0,Regression,0.1,291680
1146.0,219685.0,4310000.0,Regression,0.1,291680
1147.0,220272.0,4320000.0,Regression,0.1,291680
1150.0,220922.0,4330000.0,Regression,0.1,291680
1154.0,221566.0,4340000.0,Regression,0.1,291680
1158.0,222227.0,4350000.0,Regression,0.1,291680
1159.0,222843.0,4360000.0,Regression,0.1,291680
1163.0,223449.0,4370000.0,Regression,0.1,291680
1167.0,224062.0,4380000.0,Regression,0.1,291680
1174.0,224740.0,4390000.0,Regression,0.1,291680
1177.0,225346.0,4400000.0,Regression,0.1,291680
1183.0,225951.0,4410000.0,Regression,0.1,291680
1186.0,226531.0,4420000.0,Regression,0.1,291680
1190.0,227099.0,4430000.0,Regression,0.1,291680
1193.0,227685.0,4440000.0,Regression,0.1,291680
1197.0,228293.0,4450000.0,Regression,0.1,291680
1203.0,228943.0,4460000.0,Regression,0.1,291680
1207.0,229600.0,4470000.0,Regression,0.1,291680
1212.0,230209.0,4480000.0,Regression,0.1,291680
1219.0,230790.0,4490000.0,Regression,0.1,291680
1225.0,231404.0,4500000.0,Regression,0.1,291680
1230.0,231971.0,4510000.0,Regression,0.1,291680
1235.0,232591.0,4520000.0,Regression,0.1,291680
1240.0,233151.0,4530000.0,Regression,0.1,291680
1246.0,233752.0,4540000.0,Regression,0.1,291680
1260.0,234333.0,4550000.0,Regression,0.1,291680
1265.0,234957.0,4560000.0,Regression,0.1,291680
1268.0,235562.0,4570000.0,Regression,0.1,291680
1274.0,236222.0,4580000.0,Regression,0.1,291680
1281.0,236793.0,4590000.0,Regression,0.1,291680
1286.0,237402.0,4600000.0,Regression,0.1,291680
1294.0,237967.0,4610000.0,Regression,0.1,291680
1300.0,238498.0,4620000.0,Regression,0.1,291680
1304.0,239055.0,4630000.0,Regression,0.1,291680
1308.0,239638.0,4640000.0,Regression,0.1,291680
1314.0,240199.0,4650000.0,Regression,0.1,291680
1317.0,240833.0,4660000.0,Regression,0.1,291680
1319.0,241402.0,4670000.0,Regression,0.1,291680
1326.0,241987.0,4680000.0,Regression,0.1,291680
1331.0,242580.0,4690000.0,Regression,0.1,291680
1334.0,243175.0,4700000.0,Regression,0.1,291680
1336.0,243780.0,4710000.0,Regression,0.1,291680
1338.0,244351.0,4720000.0,Regression,0.1,291680
1343.0,245004.0,4730000.0,Regression,0.1,291680
1348.0,245576.0,4740000.0,Regression,0.1,291680
1351.0,246154.0,4750000.0,Regression,0.1,291680
1354.0,246743.0,4760000.0,Regression,0.1,291680
1355.0,247338.0,4770000.0,Regression,0.1,291680
1359.0,247958.0,4780000.0,Regression,0.1,291680
1362.0,248621.0,4790000.0,Regression,0.1,291680
1365.0,249221.0,4800000.0,Regression,0.1,291680
1368.0,249863.0,4810000.0,Regression,0.1,291680
1369.0,250538.0,4820000.0,Regression,0.1,291680
1374.0,251187.0,4830000.0,Regression,0.1,291680
1379.0,251787.0,4840000.0,Regression,0.1,291680
1385.0,252393.0,4850000.0,Regression,0.1,291680
1389.0,253047.0,4860000.0,Regression,0.1,291680
1389.0,253626.0,4870000.0,Regression,0.1,291680
1391.0,254200.0,4880000.0,Regression,0.1,291680
1396.0,254814.0,4890000.0,Regression,0.1,291680
1397.0,255437.0,4900000.0,Regression,0.1,291680
1400.0,256053.0,4910000.0,Regression,0.1,291680
1407.0,256671.0,4920000.0,Regression,0.1,291680
1416.0,257315.0,4930000.0,Regression,0.1,291680
1424.0,257914.0,4940000.0,Regression,0.1,291680
1425.0,258590.0,4950000.0,Regression,0.1,291680
1427.0,259206.0,4960000.0,Regression,0.1,291680
1433.0,259873.0,4970000.0,Regression,0.1,291680
1439.0,260518.0,4980000.0,Regression,0.1,291680
1442.0,261145.0,4990000.0,Regression,0.1,291680
1444.0,261769.0,5000000.0,Regression,0.1,291680
1444.0,262417.0,5010000.0,Regression,0.1,291680
1450.0,263051.0,5020000.0,Regression,0.1,291680
1453.0,263650.0,5030000.0,Regression,0.1,291680
1458.0,264295.0,5040000.0,Regression,0.1,291680
1460.0,264908.0,5050000.0,Regression,0.1,291680
1465.0,265532.0,5060000.0,Regression,0.1,291680
1472.0,266107.0,5070000.0,Regression,0.1,291680
1477.0,266748.0,5080000.0,Regression,0.1,291680
1481.0,267348.0,5090000.0,Regression,0.1,291680
1488.0,267946.0,5100000.0,Regression,0.1,291680
1490.0,268524.0,5110000.0,Regression,0.1,291680
1496.0,269131.0,5120000.0,Regression,0.1,291680
1497.0,269720.0,5130000.0,Regression,0.1,291680
1501.0,270332.0,5140000.0,Regression,0.1,291680
1504.0,270941.0,5150000.0,Regression,0.1,291680
1506.0,271542.0,5160000.0,Regression,0.1,291680
1508.0,272078.0,5170000.0,Regression,0.1,291680
1511.0,272635.0,5180000.0,Regression,0.1,291680
1512.0,273182.0,5190000.0,Regression,0.1,291680
1518.0,273784.0,5200000.0,Regression,0.1,291680
1525.0,274366.0,5210000.0,Regression,0.1,291680
1530.0,274943.0,5220000.0,Regression,0.1,291680
1532.0,275544.0,5230000.0,Regression,0.1,291680
1533.0,276139.0,5240000.0,Regression,0.1,291680
1537.0,276753.0,5250000.0,Regression,0.1,291680
1540.0,277343.0,5260000.0,Regression,0.1,291680
1543.0,277893.0,5270000.0,Regression,0.1,291680
1547.0,278475.0,5280000.0,Regression,0.1,291680
1550.0,279018.0,5290000.0,Regression,0.1,291680
1556.0,279596.0,5300000.0,Regression,0.1,291680
1558.0,280149.0,5310000.0,Regression,0.1,291680
1565.0,280724.0,5320000.0,Regression,0.1,291680
1570.0,281227.0,5330000.0,Regression,0.1,291680
1574.0,281771.0,5340000.0,Regression,0.1,291680
1578.0,282345.0,5350000.0,Regression,0.1,291680
1581.0,282944.0,5360000.0,Regression,0.1,291680
1584.0,283523.0,5370000.0,Regression,0.1,291680
1589.0,284057.0,5380000.0,Regression,0.1,291680
1593.0,284590.0,5390000.0,Regression,0.1,291680
1593.0,285123.0,5400000.0,Regression,0.1,291680
1598.0,285666.0,5410000.0,Regression,0.1,291680
1599.0,286232.0,5420000.0,Regression,0.1,291680
1602.0,286806.0,5430000.0,Regression,0.1,291680
1605.0,287402.0,5440000.0,Regression,0.1,291680
1611.0,287946.0,5450000.0,Regression,0.1,291680
1612.0,288444.0,5460000.0,Regression,0.1,291680
1616.0,288967.0,5470000.0,Regression,0.1,291680
1619.0,289527.0,5480000.0,Regression,0.1,291680
1621.0,290053.0,5490000.0,Regression,0.1,291680
1625.0,290612.0,5500000.0,Regression,0.1,291680
1628.0,291224.0,5510000.0,Regression,0.1,291680
1631.0,291765.0,5520000.0,Regression,0.1,291680
1631.0,292353.0,5530000.0,Regression,0.1,291680
1636.0,292921.0,5540000.0,Regression,0.1,291680
1640.0,293483.0,5550000.0,Regression,0.1,291680
1647.0,294042.0,5560000.0,Regression,0.1,291680
1649.0,294652.0,5570000.0,Regression,0.1,291680
1654.0,295220.0,5580000.0,Regression,0.1,291680
1658.0,295741.0,5590000.0,Regression,0.1,291680
1660.0,296249.0,5600000.0,Regression,0.1,291680
1662.0,296790.0,5610000.0,Regression,0.1,291680
1663.0,297296.0,5620000.0,Regression,0.1,291680
1667.0,297826.0,5630000.0,Regression,0.1,291680
1672.0,298380.0,5640000.0,Regression,0.1,291680
1676.0,298951.0,5650000.0,Regression,0.1,291680
1681.0,299545.0,5660000.0,Regression,0.1,291680
1684.0,300174.0,5670000.0,Regression,0.1,291680
1688.0,300791.0,5680000.0,Regression,0.1,291680
1692.0,301397.0,5690000.0,Regression,0.1,291680
1695.0,302065.0,5700000.0,Regression,0.1,291680
1703.0,302786.0,5710000.0,Regression,0.1,291680
1708.0,303454.0,5720000.0,Regression,0.1,291680
