Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
70.0,27855.0,4120000.0,Regression,0.01,29168
70.0,27877.0,4130000.0,Regression,0.01,29168
70.0,27901.0,4140000.0,Regression,0.01,29168
70.0,27930.0,4150000.0,Regression,0.01,29168
72.0,27956.0,4160000.0,Regression,0.01,29168
72.0,27988.0,4170000.0,Regression,0.01,29168
72.0,28015.0,4180000.0,Regression,0.01,29168
72.0,28041.0,4190000.0,Regression,0.01,29168
72.0,28075.0,4200000.0,Regression,0.01,29168
72.0,28100.0,4210000.0,Regression,0.01,29168
74.0,28129.0,4220000.0,Regression,0.01,29168
74.0,28155.0,4230000.0,Regression,0.01,29168
74.0,28176.0,4240000.0,Regression,0.01,29168
74.0,28206.0,4250000.0,Regression,0.01,29168
75.0,28235.0,4260000.0,Regression,0.01,29168
75.0,28256.0,4270000.0,Regression,0.01,29168
75.0,28295.0,4280000.0,Regression,0.01,29168
78.0,28327.0,4290000.0,Regression,0.01,29168
78.0,28356.0,4300000.0,Regression,0.01,29168
78.0,28378.0,4310000.0,Regression,0.01,29168
78.0,28400.0,4320000.0,Regression,0.01,29168
78.0,28427.0,4330000.0,Regression,0.01,29168
79.0,28454.0,4340000.0,Regression,0.01,29168
79.0,28476.0,4350000.0,Regression,0.01,29168
79.0,28504.0,4360000.0,Regression,0.01,29168
79.0,28529.0,4370000.0,Regression,0.01,29168
80.0,28561.0,4380000.0,Regression,0.01,29168
80.0,28598.0,4390000.0,Regression,0.01,29168
80.0,28624.0,4400000.0,Regression,0.01,29168
80.0,28650.0,4410000.0,Regression,0.01,29168
81.0,28670.0,4420000.0,Regression,0.01,29168
81.0,28687.0,4430000.0,Regression,0.01,29168
82.0,28717.0,4440000.0,Regression,0.01,29168
83.0,28734.0,4450000.0,Regression,0.01,29168
83.0,28760.0,4460000.0,Regression,0.01,29168
83.0,28780.0,4470000.0,Regression,0.01,29168
83.0,28799.0,4480000.0,Regression,0.01,29168
86.0,28826.0,4490000.0,Regression,0.01,29168
87.0,28849.0,4500000.0,Regression,0.01,29168
88.0,28863.0,4510000.0,Regression,0.01,29168
88.0,28885.0,4520000.0,Regression,0.01,29168
88.0,28907.0,4530000.0,Regression,0.01,29168
88.0,28928.0,4540000.0,Regression,0.01,29168
88.0,28953.0,4550000.0,Regression,0.01,29168
88.0,28979.0,4560000.0,Regression,0.01,29168
89.0,29007.0,4570000.0,Regression,0.01,29168
89.0,29040.0,4580000.0,Regression,0.01,29168
90.0,29056.0,4590000.0,Regression,0.01,29168
91.0,29076.0,4600000.0,Regression,0.01,29168
92.0,29088.0,4610000.0,Regression,0.01,29168
93.0,29101.0,4620000.0,Regression,0.01,29168
94.0,29127.0,4630000.0,Regression,0.01,29168
95.0,29148.0,4640000.0,Regression,0.01,29168
96.0,29169.0,4650000.0,Regression,0.01,29168
96.0,29196.0,4660000.0,Regression,0.01,29168
97.0,29222.0,4670000.0,Regression,0.01,29168
