Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha
69.0,29077.0,1890000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529496231.0,0.01
69.0,29210.0,1900000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529496335.0,0.01
71.0,29361.0,1910000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529496441.0,0.01
71.0,29503.0,1920000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529496550.0,0.01
71.0,29626.0,1930000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529496655.0,0.01
72.0,29751.0,1940000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529496762.0,0.01
72.0,29897.0,1950000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529496866.0,0.01
73.0,30027.0,1960000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529496967.0,0.01
74.0,30176.0,1970000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529497068.0,0.01
75.0,30312.0,1980000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529497168.0,0.01
75.0,30434.0,1990000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529497267.0,0.01
77.0,30558.0,2000000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529497367.0,0.01
78.0,30664.0,2010000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529497467.0,0.01
78.0,30788.0,2020000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529497571.0,0.01
78.0,30913.0,2030000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529497673.0,0.01
78.0,31051.0,2040000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529497772.0,0.01
78.0,31165.0,2050000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529497873.0,0.01
78.0,31277.0,2060000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529497977.0,0.01
79.0,31391.0,2070000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529498080.0,0.01
