Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp
91.0,16427.0,3500000.0,Regression,0.01,29168,1529513198.0
91.0,16463.0,3510000.0,Regression,0.01,29168,1529513322.0
91.0,16510.0,3520000.0,Regression,0.01,29168,1529513442.0
91.0,16562.0,3530000.0,Regression,0.01,29168,1529513565.0
91.0,16611.0,3540000.0,Regression,0.01,29168,1529513684.0
92.0,16659.0,3550000.0,Regression,0.01,29168,1529513801.0
93.0,16707.0,3560000.0,Regression,0.01,29168,1529513915.0
93.0,16752.0,3570000.0,Regression,0.01,29168,1529514031.0
93.0,16787.0,3580000.0,Regression,0.01,29168,1529514146.0
93.0,16822.0,3590000.0,Regression,0.01,29168,1529514258.0
93.0,16872.0,3600000.0,Regression,0.01,29168,1529514374.0
93.0,16924.0,3610000.0,Regression,0.01,29168,1529514489.0
93.0,16970.0,3620000.0,Regression,0.01,29168,1529514603.0
93.0,17007.0,3630000.0,Regression,0.01,29168,1529514716.0
94.0,17051.0,3640000.0,Regression,0.01,29168,1529514829.0
94.0,17095.0,3650000.0,Regression,0.01,29168,1529514939.0
94.0,17147.0,3660000.0,Regression,0.01,29168,1529515055.0
94.0,17204.0,3670000.0,Regression,0.01,29168,1529515168.0
94.0,17274.0,3680000.0,Regression,0.01,29168,1529515283.0
94.0,17330.0,3690000.0,Regression,0.01,29168,1529515396.0
95.0,17380.0,3700000.0,Regression,0.01,29168,1529515507.0
98.0,17443.0,3710000.0,Regression,0.01,29168,1529515620.0
99.0,17506.0,3720000.0,Regression,0.01,29168,1529515732.0
100.0,17582.0,3730000.0,Regression,0.01,29168,1529515845.0
100.0,17649.0,3740000.0,Regression,0.01,29168,1529515957.0
100.0,17696.0,3750000.0,Regression,0.01,29168,1529516066.0
100.0,17753.0,3760000.0,Regression,0.01,29168,1529516176.0
100.0,17798.0,3770000.0,Regression,0.01,29168,1529516288.0
100.0,17844.0,3780000.0,Regression,0.01,29168,1529516398.0
102.0,17895.0,3790000.0,Regression,0.01,29168,1529516507.0
103.0,17955.0,3800000.0,Regression,0.01,29168,1529516614.0
103.0,18012.0,3810000.0,Regression,0.01,29168,1529516718.0
104.0,18056.0,3820000.0,Regression,0.01,29168,1529516825.0
104.0,18091.0,3830000.0,Regression,0.01,29168,1529516930.0
104.0,18125.0,3840000.0,Regression,0.01,29168,1529517037.0
104.0,18156.0,3850000.0,Regression,0.01,29168,1529517144.0
105.0,18200.0,3860000.0,Regression,0.01,29168,1529517253.0
106.0,18251.0,3870000.0,Regression,0.01,29168,1529517362.0
106.0,18292.0,3880000.0,Regression,0.01,29168,1529517472.0
107.0,18334.0,3890000.0,Regression,0.01,29168,1529517584.0
107.0,18386.0,3900000.0,Regression,0.01,29168,1529517696.0
108.0,18440.0,3910000.0,Regression,0.01,29168,1529517811.0
108.0,18493.0,3920000.0,Regression,0.01,29168,1529517932.0
110.0,18547.0,3930000.0,Regression,0.01,29168,1529518050.0
111.0,18594.0,3940000.0,Regression,0.01,29168,1529518162.0
111.0,18670.0,3950000.0,Regression,0.01,29168,1529518267.0
111.0,18709.0,3960000.0,Regression,0.01,29168,1529518377.0
111.0,18742.0,3970000.0,Regression,0.01,29168,1529518479.0
111.0,18781.0,3980000.0,Regression,0.01,29168,1529518583.0
112.0,18833.0,3990000.0,Regression,0.01,29168,1529518680.0
112.0,18875.0,4000000.0,Regression,0.01,29168,1529518782.0
112.0,18917.0,4010000.0,Regression,0.01,29168,1529518879.0
112.0,18948.0,4020000.0,Regression,0.01,29168,1529518976.0
113.0,18977.0,4030000.0,Regression,0.01,29168,1529519068.0
113.0,19018.0,4040000.0,Regression,0.01,29168,1529519158.0
113.0,19055.0,4050000.0,Regression,0.01,29168,1529519247.0
113.0,19095.0,4060000.0,Regression,0.01,29168,1529519335.0
114.0,19130.0,4070000.0,Regression,0.01,29168,1529519425.0
115.0,19158.0,4080000.0,Regression,0.01,29168,1529519511.0
117.0,19199.0,4090000.0,Regression,0.01,29168,1529519597.0
118.0,19236.0,4100000.0,Regression,0.01,29168,1529519684.0
118.0,19282.0,4110000.0,Regression,0.01,29168,1529519769.0
118.0,19326.0,4120000.0,Regression,0.01,29168,1529519856.0
119.0,19360.0,4130000.0,Regression,0.01,29168,1529519944.0
119.0,19400.0,4140000.0,Regression,0.01,29168,1529520032.0
119.0,19431.0,4150000.0,Regression,0.01,29168,1529520119.0
120.0,19473.0,4160000.0,Regression,0.01,29168,1529520204.0
120.0,19508.0,4170000.0,Regression,0.01,29168,1529520290.0
120.0,19557.0,4180000.0,Regression,0.01,29168,1529520376.0
120.0,19590.0,4190000.0,Regression,0.01,29168,1529520462.0
120.0,19632.0,4200000.0,Regression,0.01,29168,1529520546.0
120.0,19653.0,4210000.0,Regression,0.01,29168,1529520623.0
121.0,19691.0,4220000.0,Regression,0.01,29168,1529520701.0
122.0,19728.0,4230000.0,Regression,0.01,29168,1529520776.0
123.0,19765.0,4240000.0,Regression,0.01,29168,1529520851.0
123.0,19798.0,4250000.0,Regression,0.01,29168,1529520926.0
123.0,19828.0,4260000.0,Regression,0.01,29168,1529521002.0
123.0,19860.0,4270000.0,Regression,0.01,29168,1529521081.0
123.0,19904.0,4280000.0,Regression,0.01,29168,1529521162.0
124.0,19953.0,4290000.0,Regression,0.01,29168,1529521244.0
124.0,19985.0,4300000.0,Regression,0.01,29168,1529521327.0
124.0,20018.0,4310000.0,Regression,0.01,29168,1529521407.0
124.0,20048.0,4320000.0,Regression,0.01,29168,1529521489.0
124.0,20080.0,4330000.0,Regression,0.01,29168,1529521568.0
124.0,20110.0,4340000.0,Regression,0.01,29168,1529521649.0
124.0,20155.0,4350000.0,Regression,0.01,29168,1529521733.0
124.0,20192.0,4360000.0,Regression,0.01,29168,1529521816.0
124.0,20231.0,4370000.0,Regression,0.01,29168,1529521898.0
125.0,20265.0,4380000.0,Regression,0.01,29168,1529521983.0
126.0,20299.0,4390000.0,Regression,0.01,29168,1529522073.0
126.0,20336.0,4400000.0,Regression,0.01,29168,1529522153.0
126.0,20363.0,4410000.0,Regression,0.01,29168,1529522231.0
127.0,20391.0,4420000.0,Regression,0.01,29168,1529522305.0
127.0,20415.0,4430000.0,Regression,0.01,29168,1529522377.0
128.0,20460.0,4440000.0,Regression,0.01,29168,1529522449.0
128.0,20495.0,4450000.0,Regression,0.01,29168,1529522542.0
129.0,20541.0,4460000.0,Regression,0.01,29168,1529522626.0
130.0,20579.0,4470000.0,Regression,0.01,29168,1529522696.0
130.0,20598.0,4480000.0,Regression,0.01,29168,1529522765.0
132.0,20634.0,4490000.0,Regression,0.01,29168,1529522834.0
132.0,20665.0,4500000.0,Regression,0.01,29168,1529522902.0
133.0,20701.0,4510000.0,Regression,0.01,29168,1529522980.0
133.0,20744.0,4520000.0,Regression,0.01,29168,1529523050.0
133.0,20780.0,4530000.0,Regression,0.01,29168,1529523120.0
133.0,20817.0,4540000.0,Regression,0.01,29168,1529523190.0
134.0,20857.0,4550000.0,Regression,0.01,29168,1529523259.0
134.0,20892.0,4560000.0,Regression,0.01,29168,1529523331.0
135.0,20937.0,4570000.0,Regression,0.01,29168,1529523404.0
135.0,20981.0,4580000.0,Regression,0.01,29168,1529523478.0
137.0,21018.0,4590000.0,Regression,0.01,29168,1529523547.0
138.0,21053.0,4600000.0,Regression,0.01,29168,1529523617.0
138.0,21072.0,4610000.0,Regression,0.01,29168,1529523692.0
139.0,21098.0,4620000.0,Regression,0.01,29168,1529523767.0
139.0,21127.0,4630000.0,Regression,0.01,29168,1529523839.0
139.0,21154.0,4640000.0,Regression,0.01,29168,1529523912.0
140.0,21190.0,4650000.0,Regression,0.01,29168,1529523986.0
