Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
Global,919597,1534230000000,105725,297846,119087,101186,121044,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,2159970,1534251600000,0,39102,23731,19952,10387,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,2159970,1534251600000,-32057,259192,113894,92046,97410,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,2912107,1534273200000,0,0,15828,3984,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,2912107,1534273200000,-43856,215991,105991,76078,76190,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,3176462,1534283997000,0,0,12772,852,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,3176462,1534283997000,-56802,200296,102935,72946,71211,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,3361164,1534305600000,0,100148,51467,36473,35605,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,3361164,1534305600000,-56802,200296,102935,72946,71211,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,4267029,1534327200000,0,26410,27231,14435,2825,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,4267029,1534327200000,-56802,126558,78699,50908,38431,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,5314011,1534348800000,0,0,13418,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
