Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
Global,2912107,1534273200000,46365,584475,249816,198642,214014,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,3176462,1534283997000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,3176462,1534283997000,32884,570646,246696,195319,209000,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,3361164,1534305600000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,3361164,1534305600000,32564,556242,242051,188645,202403,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,4267029,1534327200000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,4267029,1534327200000,1181,527666,225606,178715,177486,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,5314011,1534348800000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,5314011,1534348800000,-14109,484951,212591,156895,152413,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,5726250,1534363199000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,5726250,1534363199000,-20423,459263,207911,146331,142972,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,5979990,1534384801000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,5979990,1534384801000,-20449,441552,195385,138746,139795,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,6734652,1534406401000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,6734652,1534406401000,-61769,400101,177627,126588,133227,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,7863533,1534428001000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,7863533,1534428001000,-92081,340633,155887,113291,114863,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,8560378,1534449599000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,8560378,1534449599000,-109767,307514,141050,99299,102286,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,8811097,1534471200000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,8811097,1534471200000,-109767,296729,132990,88476,99366,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,9572684,1534492800000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Global,9572684,1534492800000,-129734,267296,113919,79037,88153,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
Local,10549106,1534514400000,0.0,0.0,0.0,0.0,0.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.8,DAILY,1,True,0.0,True,0.0,0.0
