Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
Global,12131153,1534582800000,-202583,-149754,-46268,-38078,-32246,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,12921745,1534604400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,12921745,1534604400000,-238685,-182877,-68574,-44497,-55624,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,13594727,1534626000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,13594727,1534626000000,-256058,-211660,-88379,-50451,-70533,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,13646663,1534629599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,13646663,1534629599000,-258503,-213516,-89622,-51105,-71380,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,13812775,1534651200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,13812775,1534651200000,-263335,-215448,-101872,-56258,-73205,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,14433317,1534672800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
