Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha
Total,5726250,1534363199000,-87340,-210383,-94687,-21448,-97612,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,NO_SPLIT,2
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,NO_SPLIT,2
Total,5979990,1534384801000,-87340,-210383,-94687,-21448,-97612,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,NO_SPLIT,2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,NO_SPLIT,2
Total,6734652,1534406401000,-138608,-266101,-138971,-27033,-108242,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,NO_SPLIT,2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,NO_SPLIT,2
Total,7863533,1534428001000,-190244,-372678,-181205,-44360,-120877,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,NO_SPLIT,2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,NO_SPLIT,2
Total,8560378,1534449599000,-218483,-432941,-212226,-57572,-132091,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,NO_SPLIT,2
Daily,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,919597,1534230000000,107153.0,269393.0,101865.0,89360.0,123469.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,919597,1534230000000,107153,269393,101865,89360,123469,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,2159970,1534251600000,2746.0,173572.0,66353.0,46287.0,90572.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,2159970,1534251600000,2746,173572,66353,46287,90572,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,2912107,1534273200000,0,78608.0,46689.0,17005.0,67719.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,2912107,1534273200000,-6503,78608,46689,17005,67719,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,3176462,1534283997000,0,47459.0,41001.0,10338.0,59691.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,3176462,1534283997000,-6503,47459,41001,10338,59691,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,3361164,1534305600000,0,47459.0,41001.0,10338.0,59691.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,3361164,1534305600000,-6503,47459,41001,10338,59691,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,4267029,1534327200000,0,0,0,2267.0,12631.0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,4267029,1534327200000,-6571,-90885,-8011,2267,12631,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,5314011,1534348800000,-9746,-92435,-8086,-40463,-77568,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,5726250,1534363199000,-25881,-135481,-17559,-50098,-87231,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,5979990,1534384801000,-25881,-135481,-17559,-50098,-87231,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,6734652,1534406401000,-67477,-197217,-52552,-54398,-107529,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,7863533,1534428001000,-119117,-315569,-87161,-63115,-127580,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
Total,8560378,1534449599000,-144629,-383272,-111530,-74809,-140160,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,NO_SPLIT,2
