Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha
Daily,3176462,1534283997000,0,11597,7893,0,8151,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Total,3176462,1534283997000,-59969,34791,23681,-15532,24454,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Daily,3361164,1534305600000,0,17395,11840,0,12227,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Total,3361164,1534305600000,-59969,34791,23681,-15532,24454,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Daily,4267029,1534327200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Total,4267029,1534327200000,-63055,-148489,-14058,-16579,-13076,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Daily,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Total,5314011,1534348800000,-108770,-241869,-36713,-33787,-34090,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Daily,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Total,5726250,1534363199000,-118302,-300111,-46899,-43980,-43414,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Daily,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Total,5979990,1534384801000,-118302,-300111,-46899,-43980,-43414,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Total,6734652,1534406401000,-172607,-351001,-79662,-55526,-50526,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Total,7863533,1534428001000,-220394,-463745,-108333,-71870,-71821,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Total,8560378,1534449599000,-246836,-526713,-130815,-86642,-87335,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,0.8,DAILY,1
Daily,356003,1534208400000,39362,110044,45081,36046,43511,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,919597,1534230000000,35598,91251,34017,29496,41133,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,919597,1534230000000,106794,273754,102053,88490,123401,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,2159970,1534251600000,243,61037,22819,14625,29933,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,2159970,1534251600000,731,183112,68459,43875,89799,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Daily,2912107,1534273200000,0,26822,13556,12779,17389,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
Total,2912107,1534273200000,-1959,80468,40670,38338,52168,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1
