Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
Global,13594727,1534626000000,-20727,-71817,-21157,-4208,-31064,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,13646663,1534629599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,13646663,1534629599000,-20727,-73996,-22359,-5433,-32472,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,13812775,1534651200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,13812775,1534651200000,-20727,-73996,-22359,-5433,-32472,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,14433317,1534672800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,14433317,1534672800000,-33493,-86061,-39190,-19914,-40475,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,15170226,1534694400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,15170226,1534694400000,-78519,-99688,-45938,-24310,-57042,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,15782548,1534712399000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Global,15782548,1534712399000,-97968,-115219,-54487,-29281,-72481,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
Local,356003,1534208400000,198376,637798,261177,217623,251262,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,356003,1534208400000,198376,637798,261177,217623,251262,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,919597,1534230000000,186240,606152,244982,210240,241534,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,919597,1534230000000,186240,606152,244982,210240,241534,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,2159970,1534251600000,49282,567522,239579,201128,217762,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,2159970,1534251600000,49282,567522,239579,201128,217762,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,2912107,1534273200000,37443,522941,231613,184650,197352,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,2912107,1534273200000,37443,522941,231613,184650,197352,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,3176462,1534283997000,24392,507568,228530,181470,192347,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,3176462,1534283997000,24392,507568,228530,181470,192347,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,3361164,1534305600000,24392,507568,228530,181470,192347,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,3361164,1534305600000,24392,507568,228530,181470,192347,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,4267029,1534327200000,11841,435395,209177,161978,164712,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,4267029,1534327200000,11841,435395,209177,161978,164712,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,5295042,1534348103000,0,392237,196895,137842,136420,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,5295042,1534348103000,0,392237,196895,137842,136420,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,5314011,1534348800000,0,390480,196676,137492,135930,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,5314011,1534348800000,-201,390480,196676,137492,135930,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,5726250,1534363199000,0,359343,191679,126897,125750,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,5726250,1534363199000,-5652,359343,191679,126897,125750,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,5979990,1534384801000,0,359343,191679,126897,125750,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,5979990,1534384801000,-5652,359343,191679,126897,125750,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,6734652,1534406401000,0,306791,153500,113474,116891,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,6734652,1534406401000,-5652,306791,153500,113474,116891,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,7863533,1534428001000,0,239999,128297,92534,97517,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,7863533,1534428001000,-5652,239999,128297,92534,97517,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,8560378,1534449599000,0,200741,113113,72592,82496,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,8560378,1534449599000,-5652,200741,113113,72592,82496,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,8811097,1534471200000,0,200741,113113,72592,82496,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,8811097,1534471200000,-5652,200741,113113,72592,82496,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,9572684,1534492800000,0,162341,87514,58672,74455,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,9572684,1534492800000,-5652,162341,87514,58672,74455,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,10549106,1534514400000,0,118822,60041,31085,56273,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,10549106,1534514400000,-5652,118822,60041,31085,56273,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,11220337,1534536000000,0,75461,39353,21859,42792,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,11220337,1534536000000,-5652,75461,39353,21859,42792,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,11331020,1534539599000,0,69407,34037,18951,41002,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,11331020,1534539599000,-5652,69407,34037,18951,41002,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,11538116,1534561200000,0,69407,34037,18951,41002,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,11538116,1534561200000,-5652,69407,34037,18951,41002,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,12131153,1534582800000,0,15220,20504,3050,23533,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,12131153,1534582800000,-5652,15220,20504,3050,23533,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,12265659,1534586073000,0,8341,16986,0,19036,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,12265659,1534586073000,-5652,8341,16986,0,19036,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,12414331,1534589729000,0,0,9050,0,12253,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,12414331,1534589729000,-5652,0,9050,-1021,12253,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,12516510,1534592218000,0,0,0,0,9043,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,12516510,1534592218000,-5652,-4938,0,-1426,9043,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,12765501,1534599480000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,12765501,1534599480000,-5652,-18312,-13025,-2550,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,12921745,1534604400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,12921745,1534604400000,-5652,-27709,-16513,-3896,-6379,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,13594727,1534626000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,13594727,1534626000000,-5652,-63776,-45586,-13867,-31148,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,13646663,1534629599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,13646663,1534629599000,-5652,-66083,-47501,-14599,-32683,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,13812775,1534651200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,13812775,1534651200000,-5652,-66083,-47501,-14599,-32683,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,14433317,1534672800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,14433317,1534672800000,-21996,-75887,-57672,-34948,-40785,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,15170226,1534694400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,15170226,1534694400000,-64734,-88361,-63227,-41083,-61127,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,15782548,1534712399000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,15782548,1534712399000,-84982,-102881,-70423,-46871,-78588,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
